93.1.48,1993-01-01,Intaglio with standing figure,Anonymous,glass?,"translucent, yellow",WCMA-ANCIENT,0.0
RC.22.12,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
84.32.11,1984-01-01,Cloth with leaf design,Anonymous (Turkish),silk,,WCMA-EASTERN,0.0
56.16.4.B,1956-01-01,"Cart decoration, ""Holy Family""",Anonymous (Italian),painted wood,,WCMA-SCULPTURE,0.0
RC.15.1,1992-01-01,"Lawrence Hall, interior",Anonymous (American),photograph,copy of historical photo,WCMA Reserve Collection,0.0
92.5.11,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
92.5.9,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
56.16.4.A,1956-01-01,"Cart decoration, ""St. George, Equestrian""",Anonymous (Italian),painted wood,,WCMA-SCULPTURE,0.0
56.16.28.A,1956-01-01,Pitcher with two handles,Anonymous,brass,,WCMA-DEC ARTS,0.0
56.16.4.C,1956-01-01,"Cart decoration, ""Virgin in Glory with Two Cherubs""",Anonymous (Italian),painted wood,,WCMA-SCULPTURE,0.0
RC.22.47,1994-01-01,Incised blade,Anonymous,iron?,,WCMA Reserve Collection,0.0
93.1.77.C,1993-01-01,Bowl,Syrian?,baked clay,"Possibly an offering bowl. Rough form, possibly a mistake from a pottery studio.",WCMA-ANCIENT,0.0
92.5.10,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
94.1.11,1994-01-01,Portrait of a man,Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
93.1.147.B,1993-01-01,Pin closure (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
94.1.33,1994-01-01,Bag,Anonymous,cotton? | silk,cotton? with blue silk lining,WCMA-DEC ARTS,0.0
92.5.12,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
93.1.34,1993-01-01,Seal with bird impression,Anonymous,cork and wax,red/orange wax,WCMA-ANCIENT,0.0
94.1.32.A,1994-01-01,Sleeve? with decoration,Middle Eastern?,textile,woven thread on canvas-like ground?,WCMA-DEC ARTS,0.0
93.1.58,1993-01-01,Music or Manuscript stand,Anonymous,gilt and gessoed wood,,WCMA-DEC ARTS,0.0
RC.22.57,1994-01-01,Group of arrows,North American Indian?,bamboo | twine,,WCMA Reserve Collection,0.0
TL.83.5.8,,"Lawrence Hall, East Wing",Anonymous (American),photograph,,WCMA-PHOTO,0.0
94.1.32.B,1994-01-01,Sleeve? with decoration,Middle Eastern?,textile,woven thread on canvas-like ground?,WCMA-DEC ARTS,0.0
EL.91.4.2,,"Inner and outer frames for George Inness painting A View of the Normandy Cliffs - Etretat, EL.90.4.2",Anonymous (American?),,,WCMA-DEC ARTS,0.0
93.1.77.Y,1993-01-01,Vessel,Mesoamerican?,baked clay,Possibly a mistake from a pottery workshop.,WCMA-ANCIENT,0.0
RC.4.48.A,1994-01-01,Untitled: Interior of a great hall,Anonymous (American),pencil and ink on paper,,WCMA Reserve Collection,0.0
93.1.142.A,1993-01-01,Small weight or sinker (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.135.I,1993-01-01,Coil ring,Anonymous,bronze?,,WCMA-DEC ARTS,0.0
93.1.68,1993-01-01,Wide mouthed pitcher with lustre glaze,Anonymous,terracotta with luster ware,"blue, green and white curvilinear design in one strip around body; base, rim and interior are unglazed",WCMA-DEC ARTS,0.0
RC.4.48.B,1994-01-01,Untitled: Street scene in Europe,Anonymous (American),pencil on paper,,WCMA Reserve Collection,0.0
RC.22.1,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
93.1.84,1993-01-01,Pitcher with design,Anonymous (French?),ceramic,yellow with minimal design of green aquiggles and brown circles,WCMA-DEC ARTS,0.0
EL.75.3.4.A,,Foil band with vine pattern,Mycenae?,gold foil,,WCMA-ANCIENT,0.0
RC.30.16.A,1959,Lid,American?,pewter,,WCMA Reserve Collection,0.0
94.1.12,1994-01-01,Portrait of a woman,Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
93.1.79,1993-01-01,Small stone,Anonymous,stone,,WCMA-ANCIENT,0.0
92.5.169,1992-01-01,Untitled: Scenes from Genesis,Anonymous,engraving on paper,,WCMA-PRINTS,0.0
92.5.170,1992-01-01,Christi Doctrina in Verbis: Scenes from Matthew,Anonymous,engraving on paper,,WCMA-PRINTS,0.0
93.1.188.A,1993-01-01,Untitled: abstract,Anonymous (Chinese?),ink wash on paper,,WCMA-EASTERN,0.0
93.1.45,1993-01-01,Intaglio with figure,Anonymous,glass? | stone?,"deep amber, translucent",WCMA-ANCIENT,0.0
93.1.101.B,1993-01-01,Candlestick holder,Anonymous,gilt wood,,WCMA-DEC ARTS,0.0
RC.22.33,1994-01-01,Necklace ?,Anonymous,metal,series of metal strips joined by hooks or rings on ends,WCMA Reserve Collection,0.0
EL.44.1,,Bust of John Jay,Anonymous (American),white marble,,WCMA-SCULPTURE,0.0
TL.83.5.17,,Lawrence Hall Library and Old South College,Anonymous (American),photograph,oval,WCMA-PHOTO,0.0
93.1.80,1993-01-01,Loom weight,Greek?,stone,,WCMA-ANCIENT,0.0
93.1.144.C,1993-01-01,Nail with incising,Anonymous,iron (?),,WCMA-DEC ARTS,0.0
93.1.135.D,1993-01-01,Fragment of Inscribed ring,Anonymous,bronze,,WCMA-ANCIENT,0.0
93.1.62,1993-01-01,Clasped Bracelet with design,African?,leather,with sparce geometric design; clasped,WCMA-AFRICAN,0.0
93.1.65.A,1993-01-01,Small container,Anonymous,gourd,,WCMA-AMERINDIAN,0.0
RC.22.50.A,1994-01-01,Arrow,North American Indian?,wood | feather | twine,,WCMA Reserve Collection,0.0
DF.16,1929-01-01,Seven drawings of mythological figures,Pierre Puget (?),drawings,SEE individual screens DF.16.A-G,WCMA-DRAWING,0.0
93.1.111,1993-01-01,Fragment with toes,Anonymous,marble,,WCMA-ANCIENT,0.0
RC.22.25,1994-01-01,Fragment (of a tool?),Anonymous,wood,,WCMA Reserve Collection,0.0
94.1.70.D,1994-01-01,Turkeywork Side Chair,Italian?,wood | tapestry,,WCMA-DEC ARTS,0.0
93.1.137.A,1993-01-01,Seal,Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.125,1993-01-01,Tool or Implement,Anonymous,stone,,WCMA-ANCIENT,0.0
RC.22.58,1994-01-01,Spear or tool,Anonymous,wood,,WCMA Reserve Collection,0.0
93.1.145,1993-01-01,Coil fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
RC.30.15,1959,Standing dog (Staffordshire),British?,porcelain,,WCMA Reserve Collection,0.0
93.1.77.AA,1993-01-01,Pottery fragment,Syrian?,baked clay,"very rough form, possibly a mistake from a pottery studio.",WCMA-ANCIENT,0.0
1887.1.129,1887-01-01,Medal of Cardinal Medici,Anonymous (Italian?),bronze,,WCMA-DEC ARTS,0.0
93.1.77.Z,1993-01-01,Vessel,Syrian?,baked clay,Possibly a mistake from a pottery workshop.,WCMA-ANCIENT,0.0
94.1.20,1994-01-01,Cover with floral design,French?,silk brocade and embroidery,wood? covered with silk brocade; gold/yellow color silk; pastel color flowers,WCMA-DEC ARTS,0.0
94.1.22,1994-01-01,Textile with floral design,Anonymous,silk brocade,handwoven; hot pink ground,WCMA-DEC ARTS,0.0
EL.81.3.27,,Lawrence Hall West Elevation: LH-63,Anonymous (American),ink on oilcloth,,WCMA-DRAWING,0.0
93.1.60,1993-01-01,Basket with handle,American?,cane?,,WCMA-DEC ARTS,0.0
RC.15.8,1992-01-01,"Portrait of Professor Karl E. Weston, Class of 1896",Anonymous (American),black and white photograph,,WCMA Reserve Collection,0.0
84.32.12,1984-01-01,Textile with floral design,Anonymous (Turkish),cloth,,WCMA-EASTERN,0.0
93.1.115,1993-01-01,Fragment from a mosaic,Anonymous,stone mosaic,crude grey stone,WCMA-ANCIENT,0.0
RC.15.9,1992-01-01,"Portrait of Professor Karl E. Weston, Class of 1896",Anonymous (American),black and white photograph,,WCMA Reserve Collection,0.0
RC.22.24,1994-01-01,Pouch or holder,North American Indian?,reptile skin?,skin covering wood,WCMA Reserve Collection,0.0
81.45.45,1981-01-01,Gilt Frame,Anonymous,gilt wood,,EXH-Furniture,0.0
93.1.130.F,1993-01-01,Tool,Anonymous,stone,,WCMA-ANCIENT,0.0
EL.86.5.2,,"Mass MOCA, Building 21",Anonymous (American),blueprint,,WCMA-PRINTS,0.0
1887.1.130,1887-01-01,"Medal of Bernardo Di Marcho Mesere Forese Di Giovani Salviati (recto), Charitas Sum Mun Bonun (verso)",Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.135.H,1993-01-01,Band ring,Anonymous,bronze? or iron?,,WCMA-DEC ARTS,0.0
94.1.76,1994-01-01,Side Chair,Spanish?,wood,,WCMA-DEC ARTS,0.0
93.1.149,1993-01-01,Fragment of a handle (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
RC.22.45,1994-01-01,Fragment of a net?,Anonymous,"rope, natural material",,WCMA Reserve Collection,0.0
RC.22.2,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
RC.22.13,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
94.1.42.B,1994-01-01,Pole with zig-zag design,North American Indian?,bamboo,,WCMA-AMERINDIAN,0.0
94.1.23,1994-01-01,Textile with floral design,French?,silk brocade,"with gold border; flowers in orange, pink, grey and yellow on white ground",WCMA-DEC ARTS,0.0
94.1.42.A,1994-01-01,Hanging textile,Italian?,velvet,crimson color; metal rod at one end (support for hanging?),WCMA-DEC ARTS,0.0
93.1.81,1993-01-01,Dish with repoussé leaf design,Anonymous,brass,,WCMA-DEC ARTS,0.0
93.1.157,1993-01-01,Fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.150,1993-01-01,Fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
EL.82.5.4,,Untitled: Two plantation scenes,Anonymous (American?),ink on tissue paper,,WCMA-DRAWING,0.0
92.5.79,1992-01-01,Portrait of a General,Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
93.1.134.D,1993-01-01,Arrowhead,Anonymous,bronze,,WCMA-ANCIENT,0.0
RC.4.49,1994-01-01,"Perugia, The Northern End of the Citadel",Anonymous (American?),pencil with white heightening on paper,mounted to board,WCMA Reserve Collection,0.0
93.1.77.HH,1993-01-01,Pottery fragment,Syrian?,baked clay,Rough form. Possible mistake from a pottery studio. Possibly a part of a larger piece.,WCMA-ANCIENT,0.0
93.1.137.B,1993-01-01,Seal fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
84.32.13,1984-01-01,Textile with floral border,Anonymous (Turkish),cloth,,WCMA-EASTERN,0.0
93.1.144.B,1993-01-01,Ornament,Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.22,1993-01-01,Carved mask,Mesoamerican?,alabaster? or bone?,golden color,WCMA-AMERINDIAN,0.0
93.1.143.A,1993-01-01,Nail,Anonymous,bronze,,WCMA-DEC ARTS,0.0
92.5.83,1992-01-01,Portrait of a Man,Anonymous (American?),oil on canvas,,WCMA-PAINTING,0.0
93.1.77.M,1993-01-01,Bowl,Syrian?,baked clay,rough form. Possibly a mistake from a pottery studio. Possibly an offering bowl.,WCMA-ANCIENT,0.0
93.1.25,1993-01-01,Offering dish,Chinese?,copper,,WCMA-EASTERN,0.0
93.1.46,1993-01-01,Intaglio with head in profile,Anonymous,glass?,"translucent, purple",WCMA-ANCIENT,0.0
93.1.128.B,1993-01-01,Crucifix,Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.134.C,1993-01-01,Arrowhead,Anonymous,bronze,,WCMA-ANCIENT,0.0
EL.75.3.4.B,,Foil band,Mycenae?,gold foil,,WCMA-ANCIENT,0.0
93.1.196,1993-01-01,Fragment from a statuette?,Anonymous,bronze,Possibly a horse's hoof (?),WCMA-ANCIENT,0.0
RC.22.34.A,1994-01-01,Circular object,Anonymous,wood,,WCMA Reserve Collection,0.0
93.1.77.II,1993-01-01,Small vase,Egyptian?,baked clay,Rough form.,WCMA-ANCIENT,0.0
PB.10,1993-01-01,Madonna and Child,Anonymous (Byzantine),tempera on panel,,WCMA-PAINTING,0.0
92.5.175,1992-01-01,War of Suan,Anonymous (Japanese?),ink and color on silk,,WCMA-EASTERN,0.0
48.2.4.J,1948-01-01,King's Rose Teapot,English?,porcelain?,soft paste?; whiteware?,WCMA-DEC ARTS,0.0
93.1.77.W,1993-01-01,Vessel,Syrian?,baked clay,Possibly a mistake from a pottery workshop.,WCMA-ANCIENT,0.0
92.5.80,1992-01-01,Portrait of a Man,Anonymous (American?),oil on canvas mounted on board,,WCMA-PAINTING,0.0
93.1.82,1993-01-01,Dish with Creation scene,Anonymous,brass?,stamped floral design along border,WCMA-DEC ARTS,0.0
91.27.13,1991-01-01,Christ in Glory,Anonymous (English?),aquatint on paper,,WCMA-PRINTS,0.0
RC.15.13,1992-01-01,"Portrait of Professor S. Lane Faison, Jr., Class of 1929",Anonymous (American),black and white photograph,,WCMA Reserve Collection,0.0
92.5.27,1992-01-01,Unidentified: bark cloth?,Anonymous,textile on cardboard,,WCMA-DEC ARTS,0.0
56.16.23,1956-01-01,Virgin (bust length),Anonymous (Italian),papier mâché,,WCMA-SCULPTURE,0.0
93.1.77.BB,1993-01-01,Pottery fragment,Syrian?,baked clay,"very rough form, possibly a mistake from a pottery studio. Possibly meant to be part of a larger piece, but not scored properly and fell off during the firing process.",WCMA-ANCIENT,0.0
EL.82.5.2,,Madonna and Child,Anonymous,tempera and gold leaf on panel,gold leaf ?,WCMA-PAINTING,0.0
30.7.2,1930-01-01,Crucifix with figural relief,Anonymous,brass,,WCMA-DEC ARTS,0.0
94.1.102.B,1994-01-01,Base,American?,wood,,WCMA-DEC ARTS,0.0
RC.22.46,1994-01-01,Fish hook,North American Indian?,"bone, wood",,WCMA Reserve Collection,0.0
PA.109.A,1970-01-01,Still life with rabbit,Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
93.1.77.U,1993-01-01,Pottery shard,Syrian?,baked clay,Possibly a mistake from a pottery workshop.,WCMA-ANCIENT,0.0
1887.1.131,1887-01-01,Medal of Ariosti Lippa and Filio Aldrovandino,Anonymous,bronze,,WCMA-DEC ARTS,0.0
EL.83.13.21,,Piece of photography hardware,Anonymous,metal and rubber,,WCMA-PHOTO,0.0
93.1.112,1993-01-01,Fragment,Anonymous,marble,buff colored,WCMA-ANCIENT,0.0
93.1.130.D,1993-01-01,Tool,Anonymous,stone,,WCMA-ANCIENT,0.0
94.1.24,1994-01-01,Textile with cross and head of a saint,Flemish?,velvet | embroidery,face and cross of embroidery on velvet ground,WCMA-DEC ARTS,0.0
93.1.77.CC,1993-01-01,Pottery fragment,Syrian?,baked clay,"rough form. Possibly a fragment from a pottery studio, and meant to be part of a larger piece.",WCMA-ANCIENT,0.0
94.1.77,1994-01-01,Side Chair,Spanish?,wood,,WCMA-DEC ARTS,0.0
RC.22.34.B,1994-01-01,Circular object,Anonymous,wood,,WCMA Reserve Collection,0.0
RC.22.3,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
93.1.88,1993-01-01,Platter with floral design,French?,brass and enamel,enamel disks around rim edge,WCMA-DEC ARTS,0.0
EL.75.3.5.B,,Foil band with disk,Greek?,gold foil,,WCMA-ANCIENT,0.0
30.7.1,1930-01-01,Cross with incised design,Anonymous,brass,,WCMA-DEC ARTS,0.0
93.1.201,1993-01-01,pottery shard,Anonymous,pottery,,WCMA-AMERINDIAN,0.0
94.1.97,1994-01-01,Chest,Spanish?,wood | veneer,,WCMA-DEC ARTS,0.0
RC.22.19,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
78.31.11,1978-01-01,Framed Textile,Japanese?,silk brocade,,WCMA-EASTERN,0.0
RC.22.9,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
93.1.77.J,1993-01-01,Lid,Syrian?,baked clay,Rough form. Possible mistake from a pottery studio.,WCMA-ANCIENT,0.0
RC.22.7,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
93.1.66,1993-01-01,Headdress or Lid (?),Mesoamerican?,terracotta,,WCMA-AMERINDIAN,0.0
94.1.64,1959,Mirror,American?,gilt wood,,WCMA-DEC ARTS,0.0
93.1.130.B,1993-01-01,Hand axe?,Anonymous,stone,,WCMA-ANCIENT,0.0
93.1.156,1993-01-01,Fragment of a handle (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
RC.22.18,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
78.30.24,1978-01-01,St. George and the Dragon,Anonymous (European),painted wood with felt and leather trim,,WCMA-SCULPTURE,0.0
RC.22.31.A,1994-01-01,Clog,Anonymous,wood,footwear,WCMA Reserve Collection,0.0
84.32.17,1984-01-01,Textile,Anonymous (Italian),velvet,red,WCMA-DEC ARTS,0.0
93.1.94.B,1993-01-01,Jar,Egyptian?,alabaster,,WCMA-ANCIENT,0.0
RC.22.8,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
WP.51,1857-01-01,"Portrait of Samuel Shepard (1772-1846), Third Vice-President of Williams College 1834-1846, Trustee 1808-1846",Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
93.1.55,1993-01-01,Bottle in the form of a woman praying (Virgin?),Anonymous,pressed glass,amethyst,WCMA-DEC ARTS,0.0
56.16.36.A,1956-01-01,Candlestick,Anonymous,gilt wood,,WCMA-DEC ARTS,0.0
94.1.100.B,1959,Mirror,American?,mirror,previously installed in Makepeace House,WCMA-DEC ARTS,0.0
93.1.77.K,1993-01-01,Bowl,Syrian?,baked clay,rough form. Possibly a mistake from a pottery studio. Possibly a lid.,WCMA-ANCIENT,0.0
93.1.130.C,1993-01-01,Tool,Anonymous,stone,,WCMA-ANCIENT,0.0
93.1.77.NN,1993-01-01,Small vase,Syrian?,baked clay,Possibly a part of a larger piece that was unscored and fell off during firing. Possibly a mistake from a pottery studio. Rough form.,WCMA-ANCIENT,0.0
RC.22.31.B,1994-01-01,Clog,Anonymous,wood,footwear,WCMA Reserve Collection,0.0
93.1.77.V,1993-01-01,Lid,Syrian?,baked clay,Possibly a mistake from a pottery workshop. Rough form.,WCMA-ANCIENT,0.0
RC.22.20,1994-01-01,Fragment,Anonymous,stone?,,WCMA Reserve Collection,0.0
93.1.110,1993-01-01,Fragment with floral decoration,Anonymous,marble,buff colored,WCMA-ANCIENT,0.0
EL.75.3.14,,Ring with plain bezel,Greek?,gold,,WCMA-ANCIENT,0.0
RC.17.55,1993-01-01,Adam and Eve,Anonymous,photo mechanical reproduction,,WCMA Reserve Collection,0.0
93.1.142.F,1993-01-01,Fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
95.4.58,1995-03-03,Vase,Anonymous (Persian),ceramic,,WCMA-EASTERN,0.0
RC.34.1,1967-01-01,Elm Tree House with the Prentices and J.D. Rockefeller,Anonymous (American?),oil on canvas,,WCMA Reserve Collection,0.0
93.1.21,1993-01-01,Palette,Anonymous,stone,black/brown/green color,WCMA-ANCIENT,0.0
RC.4.36,1994-01-01,Cushion with floral design,American?,embroidery,stuffed,WCMA Reserve Collection,0.0
56.16.36.B,1956-01-01,Candlestick,Anonymous,gilt wood,,WCMA-DEC ARTS,0.0
94.1.63,1959,End table with drawer,American?,wood,,WCMA-DEC ARTS,0.0
93.1.135.C,1993-01-01,Fragment of Inscribed ring,Anonymous,bronze,,WCMA-ANCIENT,0.0
93.1.143.G,1993-01-01,Nail fragment (?),Anonymous,iron (?),,WCMA-DEC ARTS,0.0
93.1.94.C,1993-01-01,Small jar,Egyptian?,alabaster,,WCMA-ANCIENT,0.0
RC.22.17,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
94.1.100.A,1959,Mirror,American?,mirror,,WCMA-DEC ARTS,0.0
RC.24,1994-03-07,Textile,"Anonymous, (Thailand)",thai silk,blue and green,WCMA Reserve Collection,0.0
59.25.1,1959-01-01,Tankard with cover,Anonymous,burl,,WCMA-DEC ARTS,0.0
93.1.77.PP,1993-01-01,Small vase,Syrian?,baked clay,Possibly a mistake from a pottery workshop. Rough form.,WCMA-ANCIENT,0.0
82.22.48,1982-01-01,Royal Assemblage in a Temple,Anonymous (Chinese),painting on glass,,WCMA-EASTERN,0.0
94.1.70.C,1994-01-01,Turkeywork Side Chair,Italian?,upholstery | wood,floral tapestry,WCMA-DEC ARTS,0.0
94.1.34.B,1994-01-01,Textile panel,Italian?,velvet,blue grey color,WCMA-DEC ARTS,0.0
93.1.155.A,1993-01-01,Small spoon (?),Anonymous,copper,,WCMA-DEC ARTS,0.0
93.1.33,1993-01-01,Hoe,Anonymous,iron,,WCMA-DEC ARTS,0.0
RC.22.41,1994-01-01,Weapon or tool,Anonymous,wood,,WCMA Reserve Collection,0.0
94.1.29,1994-01-01,Textile with geometric design (scarf ?),Anonymous,textile,mustard yellow and white design,WCMA-DEC ARTS,0.0
